"last_name","Frequency"
"Piveteau","198"
"Baby","197"
"Suomi","197"
"Ranta","197"
"Boyle","197"
"Pelz","197"
"Szilard","197"
"Jiang","197"
"Guting","197"
"Jonsson","197"
"Spelt","197"
"Kampfer","197"
"Luca","197"
"Braccini","197"
"Merel","197"
"Weedman","197"
"Viele","197"
"Deville","197"
"Karcich","197"
"Schmiedel","197"
"Antonakopoulos","197"
"Miara","197"
"Srimani","197"
"Granlund","197"
"Nishimukai","197"
"Ranum","197"
"Gornas","197"
"Rajaraman","197"
"Weisert","197"
"Erdmenger","197"
"Mikschl","197"
"Avouris","197"
"Ohori","197"
"Oppitz","197"
"Ciolek","197"
"Papadias","196"
"Monarch","196"
"Conia","196"
"Gajiwala","196"
"Hartvigsen","196"
"Michaeli","196"
"Rosenbaum","196"
"Swan","196"
"Grospietsch","196"
"Brender","196"
"Borstler","196"
"Masand","196"
"Gustavson","196"
"Quadeer","196"
"Merey","196"
"Schaap","196"
"Antonisse","196"
"Carrere","196"
"Setia","196"
"Hofstetter","196"
"Heuser","196"
"Leaver","196"
"Syang","196"
"Sichman","196"
"Kakkar","196"
"Simkin","196"
"Llado","196"
"Meriste","196"
"Chepyzhov","196"
"Sadowski","196"
"Schach","196"
"Servi","196"
"Kalloufi","195"
"Serna","195"
"Engberts","195"
"Cools","195"
"Ouhyoung","195"
"Hardjono","195"
"Rikino","195"
"Luft","195"
"Conde","195"
"Ermel","195"
"Matheson","195"
"Rindone","195"
"Daescu","195"
"Vilarrasa","195"
"Segond","195"
"Langford","195"
"Muntz","195"
"Swift","195"
"Kuhnemann","195"
"Kumaresan","195"
"Papsdorf","195"
"Picel","195"
"Alameldin","195"
"Munke","195"
"Birta","195"
"Rosin","195"
"Mellouli","195"
"Wrigley","195"
"Marrakchi","195"
"Manders","195"
"Camurati","195"
"Bouloucos","195"
"Keustermans","195"
"Zumaque","195"
"Gronowski","195"
"Schaar","194"
"Unno","194"
"Melski","194"
"Irland","194"
"Hiraishi","194"
"Peltason","194"
"Frolund","194"
"Haumacher","194"
"Birge","194"
"Brobst","194"
"Remmele","194"
"Nanard","194"
"Schaad","194"
"Fujisaki","194"
"Juneja","194"
"Kuszyk","194"
"Vickson","194"
"Tagansky","194"
"Salvesen","194"
"Shanbhogue","194"
"Constantine","194"
"Schwaller","194"
"Basagni","194"
"Kobara","194"
"Docker","194"
"Stentiford","194"
"Hofting","194"
"Iivonen","194"
"Erez","194"
"Kusakabe","194"
"Hertweck","193"
"Worfolk","193"
"Wursthorn","193"
"Sifakis","193"
"Butner","193"
"Radhakrishnan","193"
"Colorni","193"
"Christ","193"
"Rosis","193"
"Junet","193"
"Melichar","193"
"Thebaut","193"
"Jakobus","193"
"Stassinopoulos","193"
"Bernatsky","193"
"Candan","193"
"Gist","193"
"Alblas","193"
"Kleiser","193"
"Melton","193"
"Sundgren","193"
"Linnainmaa","193"
"Crelier","193"
"Chvatal","193"
"Serre","193"
"Camarinopoulos","193"
"Cochrane","193"
"Morrin","193"
"Parascandalo","192"
"Rajala","192"
"Baer","192"
"Cherinka","192"
"Kisuki","192"
"Rosiles","192"
"Ducloy","192"
"Kemmerer","192"
"Randi","192"
"Senzako","192"
"Ertl","192"
"Apsitis","192"
"Hutton","192"
"Heuter","192"
"Wroclawski","192"
"Woycyznski","192"
"Eickenmeyer","192"
"Maliniak","192"
"Thimonier","192"
"Pehl","192"
"Zongker","192"
"Menhoudj","192"
"Tomescu","192"
"Dulin","192"
"Fontan","192"
"Luby","192"
"Simmen","192"
"Speel","192"
"Barbanera","192"
"Baaz","192"
"Remmers","192"
"Wossner","192"
"Bahk","192"
"Eiter","192"
"Heyers","192"
"Vecchio","191"
"Vecchi","191"
"Furedi","191"
"Gomatam","191"
"Bach","191"
"Rothenberg","191"
"Bruckman","191"
"Peak","191"
"Azumi","191"
"Kushner","191"
"Hoogerwoord","191"
"Plessier","191"
"Fairtlough","191"
"Sidou","191"
"Noriega","191"
"Trystram","191"
"Brandsma","191"
"Pusterhofer","191"
"Anick","191"
"Kambil","191"
"Bodoff","191"
"Weiland","191"
"Parfitt","191"
"Mapelli","191"
"Thiran","191"
"Marquardt","191"
"Khalil","191"
"Larfeldt","191"
"Kaminger","191"
"Ghelli","191"
"Byoun","191"
"Salinas","191"
"Miake","191"
"Roisin","191"
"Selvestrel","191"
"Haddadi","191"
"Peron","191"
"Kilgore","191"
"Hasham","191"
"Krohm","191"
"Plesums","191"
"Khalid","191"
"Bahr","191"
"Diderrich","190"
"Strandh","190"
"Jervis","190"
"Czap","190"
"Suri","190"
"Anger","190"
"Merkl","190"
"Haraldson","190"
"Lorin","190"
"Ashish","190"
"Steenbeek","190"
"Itzfeldt","190"
"Baezner","190"
"Anandan","190"
"Reeken","190"
"Vingron","190"
"Munch","190"
"Keohane","190"
"Leslie","190"
"Moffat","190"
"Peyn","190"
"Seghrouchni","190"
"Hanratty","190"
"Cardazo","190"
"Underwood","190"
"Conte","190"
"Riesenhuber","190"
"Swiss","190"
"Hellwagner","190"
"Emiris","190"
"Callaway","190"
"Liesche","190"
"Staylopatis","190"
"Suppi","190"
"Ranft","190"
"Lindqvist","190"
"Klassen","190"
"Jullig","190"
"Birsak","190"
"Birnbaum","190"
"Goodrum","190"
"Ramaiah","190"
"Salverda","190"
"Madeira","190"
"Kohling","190"
"Perfilyeva","189"
"Francisci","189"
"Bala","189"
"Ellozy","189"
"Petersohn","189"
"Laventhal","189"
"Litecky","189"
"Dulay","189"
"Jahnichen","189"
"Leuchs","189"
"Billawala","189"
"Perly","189"
"Lanzelotte","189"
"Rousseau","189"
"Picht","189"
"Manderick","189"
"Horswill","189"
"Maquelin","189"
"Zaccaria","189"
"Farrar","189"
"Backhouse","189"
"Huttel","189"
"Orsini","189"
"Valette","189"
"Millington","189"
"Budinsky","189"
"Gargeya","189"
"Kriebel","189"
"Boreale","189"
"Hanabata","189"
"Uehara","189"
"Plump","189"
"Highland","189"
"Spinelli","189"
"Shackel","189"
"Acton","189"
"Bonifati","189"
"Parhami","189"
"Chleq","189"
"Lorys","189"
"Baar","189"
"Smailagic","189"
"Siochi","189"
"Pargas","189"
"Rahimi","189"
"Fiebach","189"
"Bellmore","189"
"Scharstein","189"
"Marshall","189"
"Gils","189"
"Ferretti","189"
"Przulj","189"
"Bultermann","189"
"Molenkamp","189"
"Heering","188"
"Bressoud","188"
"Makrucki","188"
"Stroustrup","188"
"Mitina","188"
"Delgrossi","188"
"Ressouche","188"
"Zirintsis","188"
"Reutenauer","188"
"Narwekar","188"
"Tyugu","188"
"Baek","188"
"Besselaar","188"
"Bolotov","188"
"Jansen","188"
"Waymire","188"
"Perry","188"
"Demos","188"
"Begiun","188"
"Sudkamp","188"
"Bazzichi","188"
"Tchuente","188"
"Kamble","188"
"Impagliazzo","188"
"Yoshizawa","188"
"Denti","188"
"Decleir","188"
"Penz","188"
"Rissland","188"
"Puppo","188"
"Oberman","188"
"Garnick","188"
"Luan","188"
"Majewski","188"
"Katzenelson","188"
"Murtha","188"
"Kawashimo","188"
"Delgrande","188"
"Joslin","188"
"Vanwelkenhuysen","187"
"Strehl","187"
"Felcyn","187"
"Kaiser","187"
"Velasco","187"
"Famili","187"
"Milicic","187"
"Godskesen","187"
"Danley","187"
"Versino","187"
"Eugenio","187"
"Bojadziev","187"
"Belinskaya","187"
"Leivant","187"
"Demian","187"
"Yeung","187"
"Kusalik","187"
"Hinsberger","187"
"Eiron","187"
"Awdeh","187"
"Billingsley","187"
"Rodham","187"
"Xiaoshan","187"
"Preusig","187"
"Buescher","187"
"Benzmuller","187"
"Beznosov","187"
"Zeidenstein","187"
"Kornatzky","187"
"Muhling","187"
"Chachaty","187"
"Garigliano","187"
"Lenart","187"
"Isard","187"
"Shihab","187"
"Nyanchama","187"
"Bierman","187"
"Pavlopoulou","187"
"Crooks","187"
"Lipner","187"
"Siegrist","187"
"Bratten","187"
"Middleton","187"
"Bridgland","187"
"Hiltgen","187"
"Giveon","186"
"Liedekerke","186"
"Iacovou","186"
"Bain","186"
"Benantar","186"
"Meszaros","186"
"Peir","186"
"Pulkowski","186"
"Goldhammer","186"
"Kavvadias","186"
"Sethi","186"
"Vesel","186"
"Danecki","186"
"Erbe","186"
"Hedayat","186"
"Mitchem","186"
"Rosen","186"
"Koshino","186"
"Gyimothy","186"
"Walstra","186"
"Facello","186"
"Takkinen","186"
"Cannard","186"
"Lundstrom","186"
"Silva","186"
"Merli","186"
"Kranzdorf","186"
"McDermid","186"
"Krzyzanowski","186"
"Poulakidas","186"
"Ratnakar","186"
"Talmor","186"
"Gulak","186"
"Rijckaert","186"
"Berendt","186"
"DasSarma","185"
"Pollacia","185"
"Narahara","185"
"Dusink","185"
"Gerteisen","185"
"Rosay","185"
"Chandrasekhar","185"
"Riefers","185"
"Marrevee","185"
"Brattka","185"
"Schwartzburd","185"
"Muhlberg","185"
"Decaestecker","185"
"Walston","185"
"Plavsic","185"
"Kakkad","185"
"Nastansky","185"
"Orlowski","185"
"Sooriamurthi","185"
"Schieder","185"
"Lally","185"
"Paciorek","185"
"Openshaw","185"
"Brendel","185"
"Petereit","185"
"Kropp","185"
"Krichel","185"
"Ghalwash","185"
"Borovoy","185"
"Cappelli","185"
"Ranai","185"
"Reghbati","185"
"Gruenwald","185"
"Braunschweig","185"
"Erde","185"
"Veevers","185"
"Lorch","185"
"Barvinok","185"
"Kitai","185"
"Fraisse","185"
"Crouzet","185"
"Valtorta","185"
"Willoner","185"
"Gurbaxani","185"
"Zucker","185"
"Terekhov","185"
"Danlos","185"
"Tsukuda","185"
"Rahier","185"
"Codenie","184"
"Stamatiou","184"
"Honglei","184"
"Hambrick","184"
"Schiettecatte","184"
"Karunanithi","184"
"Koblitz","184"
"Dichev","184"
"Feldmann","184"
"Szmurlo","184"
"Kusakari","184"
"Compeau","184"
"Welham","184"
"Gill","184"
"Heiserman","184"
"Rosca","184"
"Montemayor","184"
"Harllee","184"
"Conti","184"
"Usery","184"
"Schlumberger","184"
"Babu","184"
"Heemskerk","184"
"Furudate","184"
"Ozeki","184"
"Weedon","184"
"Asrin","184"
"Gien","184"
"Massonet","184"
"Brodal","184"
"Isaac","184"
"Esposito","184"
"Narlikar","184"
"Lorcy","184"
"Jeansoulin","184"
"Holburn","184"
"Kobuchi","184"
"Ibel","184"
"Panwar","184"
"Denna","184"
"Crabtree","184"
"Chaudhury","184"
"Dratva","184"
"Kaltofen","184"
"Schade","184"
"Litvinov","184"
"Rodier","184"
"Masaki","184"
"Zolotykh","183"
"Schaft","183"
"Debuse","183"
"Henders","183"
"Terlouw","183"
"Krone","183"
"Birdsall","183"
"Veeraraghavan","183"
"Stasinski","183"
"Straney","183"
"Perl","183"
"Koshiba","183"
"Klerer","183"
"Waeselynck","183"
"Alpay","183"
"Businaro","183"
"Vasanthakumar","183"
"Rothe","183"
"Hooghiemstra","183"
"Bellone","183"
"Bottner","183"
"Hofmeyr","183"
"Mansanne","183"
"Rettelbach","183"
"Peot","183"
"Munoz","183"
"Waterhouse","183"
"Randt","183"
"Oxenboll","183"
"Cheshire","183"
"Menhardt","183"
"Olano","183"
"Rodite","183"
"Pietrzykowski","183"
"Sankaranarayanan","183"
"Dehkordi","183"
"Naudin","183"
"Paludetto","183"
"Lovengreen","183"
"Reistad","183"
"Fadgyas","183"
"Haldar","183"
"Cappelletti","183"
"Koyama","183"
"Lichtman","183"
"Escriba","183"
"Pollock","183"
"Molberg","183"
"Wegerle","183"
"Raney","183"
"Stavenow","183"
"Peac","183"
"Cmelik","183"
"Luff","183"
"Passino","183"
"Stenning","183"
"Varman","182"
"Krogh","182"
"Poehlman","182"
"Naumovich","182"
"Spieker","182"
"Murillo","182"
"Auria","182"
"Guenter","182"
"Poujol","182"
"Uludag","182"
"Bale","182"
"Koblick","182"
"Azadmanesh","182"
"Birke","182"
"Talmon","182"
"Anily","182"
"Ushiama","182"
"Pettit","182"
"Jumpertz","182"
"Msuda","182"
"Matzat","182"
"Baak","182"
"Raczkowsky","182"
"Luck","182"
"Peng","182"
"Ariola","182"
"Baez","182"
"Suermann","182"
"Kavraki","182"
"Gluchowski","182"
"Einsfeld","182"
"Besancenot","182"
"Buchter","182"
"Lortz","182"
"Vuskovic","182"
"Zlotek","182"
"Rohrbach","182"
"Busillo","182"
"Renear","182"
"Percebois","182"
"Claffy","182"
"Lammel","182"
"Verhaegen","182"
"Eterovic","182"
"Grandbois","182"
"Basawa","182"
"Ratzlaff","182"
"Kroll","182"
"Setlzner","182"
"Uhrik","182"
"Speer","182"
"England","182"
"Trelles","182"
"Back","182"
"Lichtner","181"
"Ranon","181"
"Savasere","181"
"Zyda","181"
"Cyne","181"
"Fujisawa","181"
"Bashian","181"
"Smeets","181"
"Ossenbruggen","181"
"Schwabacher","181"
"Huxford","181"
"Spataro","181"
"Harbusch","181"
"Gilg","181"
"Mahmud","181"
"Markovitch","181"
"Comellas","181"
"Munos","181"
"Fetvedt","181"
"Varley","181"
"Dayang","181"
"Iisaka","181"
"Chaudhuri","181"
"Peroz","181"
"Giaccio","181"
"Cronau","181"
"Uhrig","181"
"Mayerwieser","181"
"Vendrig","181"
"Takanami","181"
"Nooteboom","181"
"Demri","181"
"Kuzuoka","181"
"Luit","181"
"Chiodo","181"
"Reinhart","181"
"Broder","181"
"Angel","181"
"Szemeredi","181"
"Trachtenberg","181"
"Dengi","181"
"Swist","181"
"Gunderson","181"
"Dalphin","181"
"Kroft","181"
"Dahlbom","181"
"Waschkowski","181"
"Schmittgen","181"
"Ratnaker","181"
"Cronan","181"
"Atchley","181"
"Flasterstein","181"
"Schapiro","181"
"Chelton","181"
"Quittner","181"
"Staudhammer","181"
"Asmuth","181"
"Yemenis","181"
"Heusch","181"
"Makinen","180"
"Griswold","180"
"Erol","180"
"Winter","180"
"Vakili","180"
"Bael","180"
"Baalen","180"
"Beutelspacher","180"
"Sidhu","180"
"Zizka","180"
"DuBourdieux","180"
"Christianini","180"
"McAffer","180"
"Ballarin","180"
"Sullins","180"
"Bahi","180"
"Fioravanti","180"
"Fasbender","180"
"Rissanen","180"
"Cooman","180"
"Covnot","180"
"Birrer","180"
"Sherertz","180"
"Prochazka","180"
"Mattern","180"
"Ruther","180"
"Terkki","180"
"Zweizig","180"
"Kowalchuk","180"
"Nitta","180"
"Mondadori","180"
"Erie","180"
"Stellhorn","180"
"Cronin","180"
"Bennis","180"
"Chorvat","180"
"Vitiello","180"
"Ligten","180"
"Toyoshima","180"
"Munck","180"
"Binding","180"
"Cincotta","180"
"Bail","180"
"Fabrizio","180"
"Kalafatis","180"
"Tsukune","180"
"Klyachko","179"
"Lieblein","179"
"Bazelow","179"
"Delgrange","179"
"Birch","179"
"Turnbull","179"
"Falco","179"
"Kolinko","179"
"Hatcliff","179"
"Negoita","179"
"Schneeberger","179"
"Pepe","179"
"Streng","179"
"Chiola","179"
"Gecseg","179"
"Trogemann","179"
"Yurov","179"
"McClure","179"
"Deverell","179"
"Krychniak","179"
"Hockney","179"
"Pagter","179"
"Snyers","179"
"Katalagarianos","179"
"Ladret","179"
"Steinauer","179"
"Luon","179"
"Foong","179"
"Ulupinar","179"
"Wilfing","179"
"Motley","179"
"Shokrollahi","179"
"Hebden","179"
"Werthner","179"
"Rodiger","179"
"Lupu","179"
"Roccetti","179"
"Prenel","179"
"Azulay","179"
"Marchesini","179"
"Farrag","179"
"Luga","179"
"Berztiss","179"
"Dymetman","179"
"Puppe","179"
"Beilner","179"
"Ramamoorthy","179"
"Broomell","179"
"Ozeri","179"
"Kermarrec","178"
"Brickell","178"
"Peres","178"
"Botman","178"
"Sewelson","178"
"Samarati","178"
"Chenoweth","178"
"Magliocco","178"
"Bakhtari","178"
"Rathonyi","178"
"Bernini","178"
"Tasistro","178"
"Radwan","178"
"Attimonelli","178"
"Falby","178"
"Lagarias","178"
"Capobianchi","178"
"Kossowski","178"
"Murtafg","178"
"Bamford","178"
"Levasseur","178"
"Ernst","178"
"Casley","178"
"Improta","178"
"Angot","178"
"Restivo","178"
"Jarecki","178"
"Ginneken","178"
"Ramsey","178"
"Verspoor","178"
"Seuren","178"
"Detkin","178"
"Solovay","178"
"Chartres","178"
"Felder","178"
"Eastman","178"
"Figueira","178"
"Demir","178"
"Sinitsyn","178"
"Binkley","178"
"Rebaine","178"
"Strooper","178"
"Brlek","178"
"Benveniste","178"
"Mullainathan","177"
"Monkewich","177"
"Merlo","177"
"Angiulli","177"
"Vandervoorde","177"
"DiGiano","177"
"DuCasse","177"
"Feldhoffer","177"
"Trumbly","177"
"Pouyioutas","177"
"Templeman","177"
"Zeilberger","177"
"Uchoa","177"
"Aseltine","177"
"Peral","177"
"Cairo","177"
"Magalhaes","177"
"Chinen","177"
"Rando","177"
"Perri","177"
"Matzke","177"
"Nourani","177"
"Czaja","177"
"Krupka","177"
"Cunliffe","177"
"Jayawardene","177"
"Peck","177"
"Thorensen","177"
"Zeleznik","177"
"Herath","177"
"Peris","177"
"Bardell","177"
"Zhiwei","177"
"Zultner","177"
"Thiria","177"
"Frezza","177"
"Undy","177"
"Kieras","177"
"Caine","177"
"Knightly","177"
"Nitsche","177"
"Anido","177"
"Ruemmler","177"
"Sommer","176"
"Beerel","176"
"Ullian","176"
"Kugler","176"
"Lukaszewicz","176"
"Egerstedt","176"
"Sinicrope","176"
"Demizu","176"
"Miyakawa","176"
"Danner","176"
"Lieberherr","176"
"Chappelet","176"
"Gopalakrishnan","176"
"Cullers","176"
"Baca","176"
"Coombs","176"
"Saoudi","176"
"Pleszkun","176"
"Schahn","176"
"Menyhert","176"
"Hainaut","176"
"Greibach","176"
"Zwicker","176"
"Hasenauer","176"
"Selenyi","176"
"Heping","176"
"Picaronny","176"
"Passafiume","176"
"Reinhard","176"
"Olivero","176"
"Armand","176"
"Rossi","176"
"Jording","176"
"Luke","176"
"Loncour","176"
"Halloran","176"
"Baja","176"
"Falck","176"
"Pardalos","176"
"Vidya","175"
"Flexer","175"
"Papastamatiou","175"
"Roohalamini","175"
"Alvarado","175"
"Vidal","175"
"Murtagh","175"
"Atrawala","175"
"Edelhoff","175"
"Milicia","175"
"Demke","175"
"Fendler","175"
"Krohn","175"
"Schicker","175"
"Sommen","175"
"Lienhardt","175"
"Matteis","175"
"Laurillard","175"
"Vesna","175"
"Barreiro","175"
"Engelmann","175"
"Honiden","175"
"Molenaar","175"
"Lores","175"
"Beausoleil","175"
"Picci","175"
"Lunn","175"
"Shinomoto","175"
"Kropatsch","175"
"Cyre","175"
"Sigstam","175"
"Bergere","175"
"Skrikant","175"
"Iisaku","175"
"Schurmann","175"
"Coney","175"
"Denny","175"
"Chinal","175"
"Porenta","175"
"Vural","175"
"Kalsbeek","175"
"Tsunoo","175"
"Valiente","175"
"Tanemo","175"
"Wissmann","175"
"Cappello","175"
"Cooley","175"
"Schoegge","174"
"Boissier","174"
"Oskamp","174"
"Cannane","174"
"Syrzycki","174"
"Schauser","174"
"Itschner","174"
"Georg","174"
"Azuma","174"
"Etalle","174"
"Fordan","174"
"Sambasivam","174"
"Eldridge","174"
"Tzvieli","174"
"Schonegge","174"
"Pettey","174"
"Peha","174"
"Cannata","174"
"Oxman","174"
"Gecsel","174"
"Fiutem","174"
"Hennings","174"
"Bage","174"
"Bernick","174"
"Dolinsky","174"
"Rubsam","174"
"Potthoff","174"
"Choobineh","174"
"Assaf","174"
"Showalter","174"
"Angelov","174"
"Douceur","174"
"Schlenzig","174"
"Pintelas","174"
"Varker","174"
"Veldwijk","174"
"Masamoto","173"
"Nitsch","173"
"Leonhardt","173"
"Bratsberg","173"
"Huhdanpaa","173"
"Biros","173"
"Ranze","173"
"Lanteri","173"
"Biron","173"
"Deyuan","173"
"Tischendorf","173"
"Perna","173"
"Comte","173"
"Gadepally","173"
"Quaggetto","173"
"Gimarc","173"
"Stafford","173"
"Berstel","173"
"Pietracaprina","173"
"Rusmann","173"
"Kruskal","173"
"Beidas","173"
"Validov","173"
"Denos","173"
"Peternell","173"
"Pena","173"
"Gini","173"
"Range","173"
"Marchegay","173"
"Clemencon","173"
"Flanders","173"
"Orlowska","173"
"Melter","173"
"Zockler","173"
"Ambroszkiewicz","173"
"Zielinski","172"
"Basart","172"
"Heinisuo","172"
"Gide","172"
"Portugali","172"
"Thombley","172"
"Aingworth","172"
"Fandrianto","172"
"Thibadeau","172"
"Ranka","172"
"Perz","172"
"Pell","172"
"Mersereau","172"
"Whittlesey","172"
"Rotem","172"
"Glowinski","172"
"Vrecion","172"
"Muniz","172"
"Vieri","172"
"Beeson","172"
"Henseler","172"
"Halevi","172"
"Nyrup","172"
"Syrotiuk","172"
"Janetzko","172"
"Heydon","172"
"Kalefeld","172"
"McAlpine","172"
"Bade","172"
"Zaiane","172"
"Morton","172"
"Tokunaga","172"
"Kaiserswerth","171"
"Frijda","171"
"Pauthner","171"
"Lodder","171"
"Hashii","171"
"Serot","171"
"Hutter","171"
"Navazio","171"
"Rande","171"
"Gubsky","171"
"Castellani","171"
"Kenevan","171"
"Roison","171"
"Androutsos","171"
"Nergos","171"
"Mungall","171"
"Comyn","171"
"Kropf","171"
"Isaak","171"
"Rullman","171"
"Litzler","171"
"Plotkin","171"
"Rabejac","171"
"Staelin","170"
"Kinley","170"
"Sessa","170"
"Alencar","170"
"Fontet","170"
"Akiyama","170"
"Badache","170"
"Harnett","170"
"Setiz","170"
"Yetim","170"
"Limongiello","170"
"Shobatake","170"
"Farrel","170"
"Himler","170"
"Hemaspaandra","170"
"Falster","170"
"Sluis","170"
"Mateescu","170"
"Polajnar","170"
"Penn","170"
"Schrooten","170"
"Sanella","170"
"Marletta","170"
"Piazza","170"
"Verhoeff","170"
"Lund","170"
"Spell","170"
"Keirsey","170"
"Junot","169"
"Janocha","169"
"Yoshimura","169"
"Rijsenbrij","169"
"Kolvik","169"
"Unni","169"
"Maccarone","169"
"Glinert","169"
"Thisen","169"
"Badr","169"
"Lueh","169"
"Piancastelli","169"
"Shackell","169"
"Ebeling","169"
"Journel","169"
"Minakawa","169"
"Ferriere","169"
"Condotta","169"
"Yetto","169"
"Conry","169"
"Morris","169"
"Casperson","169"
"Maginnis","169"
"Yavatkar","169"
"Wixon","169"
"Theuretzbacher","168"
"Kushnir","168"
"Bauknecht","168"
"Emmerich","168"
"Gniady","168"
"Montresor","168"
"Gladwell","168"
"Arlazarov","168"
"Gyorkos","168"
"Qiwen","168"
"Lakshmanan","168"
"Jeong","168"
"Wallrath","168"
"Lampe","168"
"Streit","168"
"Grabner","168"
"Perko","168"
"Butterworth","168"
"Yamaashi","168"
"Puoti","168"
"Sevcikova","168"
"Pargaonkar","168"
"Wuwongse","167"
"Simmel","167"
"Collavizza","167"
"Thambidurai","167"
"Nicolson","167"
"Lung","167"
"Schueller","167"
"Gire","167"
"Brizzi","167"
"Pesch","167"
"Ramsak","167"
"Oaver","167"
"Socorro","167"
"Nations","167"
"Gips","167"
"Serdy","167"
"Benaini","167"
"Fritzsche","167"
"Cromarty","167"
"Murthy","167"
"Wiegley","167"
"Burnard","167"
"Stranks","166"
"Cusworth","166"
"Kandlur","166"
"Babb","166"
"Murrill","166"
"Azevdeo","166"
"Marwedel","166"
"Coullard","166"
"Erman","166"
"Teitelbaum","166"
